WMO;Float S/N;PTT;Float;Last Tx;Last cycle;Battery;Launch Date;Cruise;Last Cycle Pmax;Surface float;Hydraulic;Last Cycle Grounded;Platform Maker;Firmware Version;Pr Version;Project Name;Float Owner;Pi Name;Deploy Platform;PR Experiment ID;N_LEVEL;Alert Status;Alert Error Flags;Alert Info Flags;Alert Warning Flags
5903554;4639;95251;APEX;2022-22-13 06:22:22;377;ok;2011-32-19 09:32:00;;;;-;0;WRC;122707;;US ARGO PROJECT;GREGORY C. JOHNSON;GREGORY C. JOHNSON;VOS SSV Seamans;US ARGO PROJECT;;0;[];[];[]
5902468;8467;n/a;SOLO_II;2022-31-08 01:31:00;204;ok;2016-00-10 10:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902496;8505;n/a;SOLO_II;2022-45-11 10:45:59;199;ok;2016-00-04 09:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902473;8450;n/a;SOLO_II;2022-50-07 05:50:04;219;ok;2016-00-30 08:00:00;;;;-;0;SIO_IDG;"V02.10; SBE602 11May16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5903828;5834;108689;APEX;2022-08-14 05:08:37;352;ok;2012-50-12 12:50:00;;;;-;0;WRC;122707;;US ARGO PROJECT;GREGORY C. JOHNSON;GREGORY C. JOHNSON;R/V Marcus Langseth;US ARGO PROJECT;;0;[];[];[]
6901660;OIN-14-S4-07;lovbio079b;PROVOR_III;2022-10-04 10:10:49;313;ok;2015-10-28 09:10:00;OUTPACE;;;-;0;NKE;5605A07;5.9;;;Thierry MOUTIN;ATALANTE;CORIOLIS;;0;[];[];[]
6900893;AI2600-19DE030;860130;ARVOR;2022-06-05 06:06:22;92;ok;2019-49-07 11:49:00;M158;;;-;0;NKE;5900A04;5.45;;BSH;Birgit Klein;METEOR;ARGO-BSH;;0;[];[];[]
6901983;7175;57730;APEX;2022-37-11 08:37:48;268;ok;2014-27-07 08:27:00;n/a;;;-;0;TWR;110813;110813;;;Andreas STERL;PBQK;DAP;;0;[];[];[]
6901253;AL2500-17SP002;44188;ARVOR;2022-04-10 01:04:44;142;ok;2018-40-29 02:40:00;BATHYPELAGIC;;;-;0;NKE;;4.52;;IEO;Pedro Velez;SARMIENTO DE GAMBOA;ARGO SPAIN;;0;[];[];[]
6901255;AL2500-17SP004;44190;ARVOR;2022-07-05 12:07:25;111;ok;2019-47-19 07:47:00;STOCA0619;;;-;0;NKE;5605B04;4.52;;IEO;Pedro Velez;RAMON MARGALEF;ARGO SPAIN;;0;[];[];[]
6901256;AL2500-17SP005;44193;ARVOR;2022-59-13 11:59:11;142;ok;2018-48-01 04:48:00;BATHYPELAGIC;;;-;0;NKE;;4.52;;IEO;Pedro Velez;SARMIENTO DE GAMBOA;ARGO SPAIN;;0;[];[];[]
6901268;AL2500-17SP017;44279;ARVOR;2022-07-13 12:07:48;113;ok;2019-00-18 09:00:00;Poseidon;;;-;0;NKE;5605B04;4.52;;IEO;Pedro Velez;SARMIENTO DE GAMBOA;ARGO SPAIN;;0;[];[];[]
6900541;AI2600-19DE032;860928;ARVOR;2022-52-13 05:52:31;94;ok;2019-28-25 03:28:00;M158;;;-;0;NKE;5900A04;5.45;;BSH;Birgit Klein;METEOR;ARGO-BSH;;0;[];[];[]
6901269;AL2500-17SP018;44287;ARVOR;2022-29-08 01:29:33;140;ok;2018-12-16 11:12:03;BATHYPELAGIC;;;-;0;NKE;;4.52;;IEO;Pedro Velez;SARMIENTO DE GAMBOA;ARGO SPAIN;;0;[];[];[]
6901262;AL2500-17SP011;44222;ARVOR;2022-58-10 12:58:26;141;ok;2018-00-08 12:00:00;BATHYPELAGIC;;;-;0;NKE;;4.52;;IEO;Pedro Velez;SARMIENTO DE GAMBOA;ARGO SPAIN;;0;[];[];[]
6901979;7169;36832;APEX;2022-55-10 07:55:57;273;ok;2014-14-27 08:14:00;n/a;;;-;0;TWR;110813;110813;;;Andreas STERL;PBQK;DAP;;0;[];[];[]
6901281;AI2600-19EU023;870118;ARVOR;2022-28-10 06:28:55;105;ok;2020-26-04 11:26:00;Canales Autumn 2020;;;-;0;NKE;5900A04;5.45;;SOCIB;Inmaculada Ruiz-Parrado;SOCIB;ARGO SPAIN;;0;[];[];[]
6901283;AI2600-21EU002;011535;ARVOR;2022-29-10 06:29:55;24;ok;2021-57-14 11:57:00;CANALES AUTUMN 2021;;;-;0;NKE;5900A05;5.47;;SOCIB;Joaquín TINTORÉ;SOCIB;ARGO SPAIN;;0;[];[];[]
6901930;AI2600-17EU02;596822i;ARVOR;2022-17-07 09:17:23;148;ok;2018-10-27 08:10:00;;;;-;0;NKE;5900A04;;Argo Ireland;Marine Institute, Ireland;Diarmuid O'Conchubhair;RV CELTIC EXPLORER;Argo Ireland;;0;[];[];[]
6901939;AI2632-18EU039;661567i;ARVOR;2022-37-11 09:37:14;35;ok;2021-27-08 06:27:00;;;;-;0;NKE;5900A04;;Argo Ireland;MARINE INSTITUTE;Conall O'Malley;CELTIC EXPLORER;Argo Ireland;;0;[];[];[]
6900793;AI2632-19EU036;863059;ARVOR;2022-07-06 08:07:55;41;ok;2021-32-28 11:32:00;SANAE 60;;;-;0;NKE;5900A05;5.48;;Euro-Argo;Tamaryn Morris;AGULHAS II;Euro-Argo ERIC ;;0;[];[];[]
6900791;AI2632-19EU034;873442;ARVOR;2022-49-07 08:49:58;47;ok;2020-20-31 10:20:00;SANAE 60;;;-;0;NKE;5900A05;5.48;;Euro-Argo;Tamaryn Morris;AGULHAS II;Euro-Argo ERIC;;0;[];[];[]
5906263;8718;n/a;APEX;2022-27-11 07:27:00;68;ok;2020-35-27 11:35:00;;;;-;0;TWR;121119;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5906059;8332;n/a;APEX;2022-31-11 04:31:30;86;ok;2019-30-15 06:30:00;;;;-;0;TWR;080319;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5906056;8331;n/a;APEX;2022-06-12 03:06:50;85;ok;2019-16-26 09:16:00;;;;-;0;TWR;080319;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5906298;8814;n/a;APEX;2022-25-12 06:25:30;206;ok;2020-09-15 09:09:00;;;;-;0;TWR;052520;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Oscar Dyson;US ARGO PROJECT;;0;[];[];[]
5906292;8870;n/a;APEX;2022-04-11 09:04:30;60;ok;2020-36-30 10:36:00;;;;-;0;TWR;020920;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5906047;8679;n/a;APEX;2022-51-08 08:51:00;90;ok;2019-11-31 03:11:00;;;;-;0;TWR;080319;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Discovery;US ARGO PROJECT;;0;[];[];[]
5906044;8333;n/a;APEX;2022-01-14 04:01:00;178;ok;2019-28-27 04:28:00;;;;-;0;TWR;081319;;UW, TPOS, Argo equivalent;STEPHEN RISER, KENNETH JOHNSON;STEPHEN RISER, KENNETH JOHNSON;R/V Discovery;UW, TPOS, Argo equivalent;;0;[];[];[]
5906286;8864;n/a;APEX;2022-54-05 04:54:00;59;ok;2020-02-02 09:02:00;;;;-;0;TWR;020920;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5906281;8644;n/a;APEX;2022-53-12 07:53:00;61;ok;2020-03-23 09:03:00;;;;-;0;TWR;121119;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5906237;8701;n/a;APEX;2022-28-10 06:28:10;76;ok;2020-07-15 12:07:00;;;;-;0;TWR;081319;;UW, TPOS, Argo equivalent;STEPHEN RISER, KENNETH JOHNSON;STEPHEN RISER, KENNETH JOHNSON;R/V Bluefin;UW, TPOS, Argo equivalent;;0;[];[];[]
5906238;8702;n/a;APEX;2022-06-13 10:06:50;75;ok;2020-12-31 02:12:00;;;;-;0;TWR;081319;;UW, TPOS, Argo equivalent;STEPHEN RISER, KENNETH JOHNSON;STEPHEN RISER, KENNETH JOHNSON;R/V Bluefin;UW, TPOS, Argo equivalent;;0;[];[];[]
5906236;8700;n/a;APEX;2022-17-11 09:17:30;76;ok;2020-38-17 11:38:00;;;;-;0;TWR;081319;;UW, TPOS, Argo equivalent;STEPHEN RISER, KENNETH JOHNSON;STEPHEN RISER, KENNETH JOHNSON;R/V Bluefin;UW, TPOS, Argo equivalent;;0;[];[];[]
5906478;9124;n/a;APEX;2022-15-12 12:15:10;29;ok;2021-23-26 10:23:00;;;;-;0;TWR;122920;;US ARGO PROJECT;STEPHEN RISER;STEPHEN RISER;R/V Sally Ride;US ARGO PROJECT;;0;[];[];[]
5906471;9373;n/a;APEX;2022-51-11 01:51:30;14;ok;2021-56-27 07:56:00;;;;-;0;TWR;052321;;UW, GO-BGC;STEPHEN RISER/KEN JOHNSON;STEPHEN RISER/KEN JOHNSON;R/V Thompson;UW, GO-BGC;;0;[];[];[]
